,identifier,principal_component_1,principal_component_2,iso_forest_scores,iso_forest_outliers
0,1004,-0.9411229950186556,-0.07837141600082052,0.213461026378798,No
1,1004,-0.9080967068661107,0.06299713778842145,0.20751850328696164,No
2,1004,-0.9841821089770657,-0.14010560233000513,0.20885903476746764,No
3,1004,-0.35205353926365485,-0.26595377953327287,0.2111163131576922,No
4,1050,1.1683289982634026,-0.22057186968980275,0.16865954893381985,No
5,1050,1.0490203686678756,-0.20168380330606867,0.1818238879546975,No
6,1050,1.213158570101493,-0.08351213646909551,0.1671971516313968,No
7,1050,2.029923493061258,-0.2126386246919748,0.13751300451918524,No
8,1072,0.6584073039578775,-0.8895935324871347,0.17926108642537808,No
9,1072,0.2942453280761773,-0.8577559458947368,0.18751409776031547,No
10,1072,-0.08251194179896675,-0.8493221023329022,0.18946902042428287,No
11,1072,-0.100399335491759,-0.8371252345645442,0.18888738208866213,No
12,1078,-1.9260463470177835,-1.051526675777186,0.13105430454121952,No
13,1078,-1.4128278760733215,-1.0813171087964877,0.16794624997094287,No
14,1078,-1.8641824069048099,-1.148257543248762,0.1271956057569918,No
15,1078,-1.4439634173756335,-1.1760751517744512,0.14432193808522692,No
16,1104,0.2132157772806557,0.33352513438388587,0.17230612680429463,No
17,1104,0.2149717652241226,0.2518729002438136,0.177702378487897,No
18,1104,0.23530384152220152,0.1112732940749272,0.1922012300253077,No
19,1104,0.8482769585309545,0.17094037339744958,0.16903917815443192,No
20,1121,1.2071403407976498,0.38331692014635504,0.13989244065056938,No
21,1121,-0.04744983206392285,0.11815674714889808,0.19269411512706353,No
22,1121,2.651517868393029,-0.22301436790826368,0.12337920202932073,No
23,1121,0.8573094125455952,-0.07381418808690271,0.1937260140709724,No
24,1161,1.9746163783021,-0.3036263765189473,0.1444225003375194,No
25,1161,1.418355281429398,-0.5844025198856622,0.1699011601282483,No
26,1161,0.19989288398933955,-0.5083924207505384,0.22936781271885587,No
27,1161,0.41411746470570404,-0.6568371309198747,0.21906220049494357,No
28,1209,-1.9178941247037677,-0.9355765217154092,0.14665313452078804,No
29,1209,-1.8233440524598121,-0.9795015811484483,0.1497987372565454,No
30,1209,-1.6224222905327252,-1.0045791557583783,0.1593158039828338,No
31,1209,-1.1570700854266607,-1.024722076716761,0.1705568216142223,No
32,1210,1.1239936325960664,2.417100908272076,0.013723200186416595,No
33,1210,0.6458380631862931,2.693638226513506,0.025701771970823573,No
34,1210,2.019899746001443,1.9334651211409706,0.008071221712802945,No
35,1210,0.9994409747565424,1.194710164101113,0.10077133050518416,No
36,1230,-1.158628187355682,1.1994130720335558,0.126935354085829,No
37,1230,-1.2450236329456987,0.9973017839693794,0.1338549892536906,No
38,1230,-1.2190754819556515,0.9922053076702491,0.13449377984299427,No
39,1230,-0.6341267670313022,0.7694730438241351,0.16235044954292194,No
40,1254,-1.1478824820935685,0.25526952643426903,0.18086367697115685,No
41,1254,-0.40221300981989416,0.342722202431064,0.17121544820090595,No
42,1254,-1.0722588820847028,0.5211025521096594,0.16413056081287025,No
43,1254,-0.4587204573602536,0.5643226012134321,0.16984078997200458,No
44,1266,0.789247246027628,-0.4576609567566796,0.19874073984752227,No
45,1266,0.2807721627376204,-0.39010841400443574,0.22173293120448195,No
46,1266,2.251265841196286,-0.5603791991381025,0.14317844476992653,No
47,1266,0.6305819899056062,-0.46474320920818224,0.2110713959659234,No
48,1300,-1.9060930469013417,-0.9601288411291954,0.14523338240116462,No
49,1300,-1.8620508165327063,-1.0115115190893784,0.13963870344390822,No
50,1300,-1.9444392798497825,-1.0914686704658014,0.12487592871476488,No
51,1300,-1.212659691251852,-1.1485832513076601,0.15961218746314676,No
52,1327,-1.2082396045548596,-0.8561464921006214,0.1992772900936179,No
